"Accession","Name","Description","cog_SampleX_bin.001","cog_SampleX_bin.002","cog_SampleX_bin.003"
"COG1227","PPX1","Inorganic pyrophosphatase/exopolyphosphatase",1,0,2
"COG1228","HutI","Imidazolonepropionase and related amidohydrolases",4,0,1
"COG1234","ElaC","Metal-dependent hydrolases of the beta-lactamase superfamily III",3,0,1
"COG1235","PhnP","Metal-dependent hydrolases of the beta-lactamase superfamily I",3,1,1
"COG1236","YSH1","Predicted exonuclease of the beta-lactamase fold involved in RNA processing",1,0,0
"COG1237","COG1237","Metal-dependent hydrolases of the beta-lactamase superfamily II",2,0,0
"COG1242","COG1242","Predicted Fe-S oxidoreductase",1,1,1
"COG1246","ArgA","N-acetylglutamate synthase and related acetyltransferases",1,0,0
"COG1247","COG1247","Sortase and related acyltransferases",2,0,2
"COG1249","Lpd","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",6,0,5
"COG1251","NirB","NAD(P)H-nitrite reductase",5,0,0
"COG1253","TlyC","Hemolysins and related proteins containing CBS domains",4,3,2
"COG1254","AcyP","Acylphosphatases",1,0,1
"COG1256","FlgK","Flagellar hook-associated protein",2,0,0
"COG1261","FlgA","Flagellar basal body P-ring biosynthesis protein",1,0,0
"COG1263","PtsG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",6,0,2
"COG1264","PtsG","Phosphotransferase system IIB components",5,0,3
"COG1266","COG1266","Predicted metal-dependent membrane protease",3,2,0
"COG1268","BioY","Uncharacterized conserved protein",2,1,1
"COG1269","NtpI","Archaeal/vacuolar-type H+-ATPase subunit I",2,1,2
"COG1270","CbiB","Cobalamin biosynthesis protein CobD/CbiB",1,0,0
"COG1272","COG1272","Predicted membrane protein, hemolysin III homolog",1,1,1
"COG1277","NosY","ABC-type transport system involved in multi-copper enzyme maturation, permease component",2,2,0
"COG1278","CspC","Cold shock proteins",2,0,3
"COG1280","RhtB","Putative threonine efflux protein",1,1,0
"COG1283","NptA","Na+/phosphate symporter",2,1,3
"COG1284","COG1284","Uncharacterized conserved protein",9,1,4
"COG1285","SapB","Uncharacterized membrane protein",2,0,0
"COG1288","COG1288","Predicted membrane protein",4,0,0
"COG1289","COG1289","Predicted membrane protein",1,1,0
"COG1291","MotA","Flagellar motor component",1,0,0
"COG1292","BetT","Choline-glycine betaine transporter",3,0,0
"COG1293","COG1293","Predicted RNA-binding protein homologous to eukaryotic snRNP",1,1,1
"COG1295","Rbn","Ribonuclease BN family enzyme",1,0,0
"COG1296","AzlC","Predicted branched-chain amino acid permease (azaleucine resistance)",1,1,2
"COG1297","COG1297","Predicted membrane protein",2,0,0
"COG1298","FlhA","Flagellar biosynthesis pathway, component FlhA",1,0,0
"COG1299","FruA","Phosphotransferase system, fructose-specific IIC component",4,1,2
"COG1301","GltP","Na+/H+-dicarboxylate symporters",7,0,1
"COG1302","COG1302","Uncharacterized protein conserved in bacteria",2,0,2
"COG1305","COG1305","Transglutaminase-like enzymes, putative cysteine proteases",2,1,0
"COG1306","COG1306","Uncharacterized conserved protein",1,0,0
"COG1307","DegV","Uncharacterized protein conserved in bacteria",4,1,4
"COG1309","AcrR","Transcriptional regulator",22,5,9
"COG1312","UxuA","D-mannonate dehydratase",4,0,0
"COG1313","PflX","Uncharacterized Fe-S protein PflX, homolog of pyruvate formate lyase activating proteins",2,1,0
"COG1314","SecG","Preprotein translocase subunit SecG",1,1,1
"COG1315","COG1315","Uncharacterized conserved protein",1,0,0
"COG1316","LytR","Transcriptional regulator",5,2,3
"COG1317","FliH","Flagellar biosynthesis/type III secretory pathway protein",1,0,0
"COG1319","CoxM","Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",11,0,1
"COG1320","MnhG","Multisubunit Na+/H+ antiporter, MnhG subunit",1,0,0
"COG1321","TroR","Mn-dependent transcriptional regulator",3,1,2
"COG1323","COG1323","Predicted nucleotidyltransferase",1,1,1
"COG1327","COG1327","Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains",1,1,0
"COG1328","NrdD","Oxygen-sensitive ribonucleoside-triphosphate reductase",5,1,2
"COG1329","COG1329","Transcriptional regulators, similar to M. xanthus CarD",2,1,0
"COG1331","COG1331","Highly conserved protein containing a thioredoxin domain",2,0,0
"COG1335","PncA","Amidases related to nicotinamidase",2,1,1
"COG1338","FliP","Flagellar biosynthesis pathway, component FliP",1,0,0
"COG1342","COG1342","Predicted DNA-binding proteins",1,0,0
"COG1343","COG1343","CRISPR-associated protein Cas2",2,0,0
"COG1344","FlgL","Flagellin and related hook-associated proteins",2,0,0
"COG1345","FliD","Flagellar capping protein",2,0,0
"COG1346","LrgB","Putative effector of murein hydrolase",1,1,0
"COG1348","NifH","Nitrogenase subunit NifH (ATPase)",2,0,0
"COG1349","GlpR","Transcriptional regulators of sugar metabolism",10,1,5
"COG1352","CheR","Methylase of chemotaxis methyl-accepting proteins",2,0,0
"COG1354","scpA","Rec8/ScpA/Scc1-like protein (kleisin family)",1,1,1
"COG1357","COG1357","Pentapeptide repeats containing protein",1,0,1
"COG1358","RPL8A","Ribosomal protein HS6-type (S12/L30/L7a)",1,1,1
"COG1360","MotB","Flagellar motor protein",1,0,0
"COG1361","COG1361","S-layer domain",2,0,0
"COG1362","LAP4","Aspartyl aminopeptidase",2,1,2
"COG1363","FrvX","Cellulase M and related proteins",4,2,2
"COG1364","ArgJ","N-acetylglutamate synthase (N-acetylornithine aminotransferase)",1,1,1
"COG1366","SpoIIAA","Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)",3,2,1
"COG1368","MdoB","Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily",2,0,2
"COG1376","ErfK","Uncharacterized protein conserved in bacteria",3,2,3
"COG1377","FlhB","Flagellar biosynthesis pathway, component FlhB",1,0,0
"COG1379","COG1379","PHP family phosphoesterase with a Zn ribbon",2,0,0
"COG1380","COG1380","Putative effector of murein hydrolase LrgA",1,1,0
"COG1381","RecO","Recombinational DNA repair protein (RecF pathway)",1,1,1
"COG1385","COG1385","Uncharacterized protein conserved in bacteria",1,1,1
"COG1386","scpB","Chromosome segregation and condensation protein B",1,1,1
"COG1387","HIS2","Histidinol phosphatase and related hydrolases of the PHP family",4,1,6
"COG1388","LytE","FOG: LysM repeat",3,0,0
"COG1390","NtpE","Archaeal/vacuolar-type H+-ATPase subunit E",2,1,1
"COG1392","COG1392","Phosphate transport regulator (distant homolog of PhoU)",1,0,0
"COG1393","ArsC","Arsenate reductase and related proteins, glutaredoxin family",2,0,2
"COG1394","NtpD","Archaeal/vacuolar-type H+-ATPase subunit D",2,1,1
"COG1396","HipB","Predicted transcriptional regulators",19,6,9
"COG1397","DraG","ADP-ribosylglycohydrolase",1,1,0
"COG1399","COG1399","Predicted metal-binding, possibly nucleic acid-binding protein",1,1,1
"COG1402","COG1402","Uncharacterized protein, putative amidase",4,0,0
"COG1404","AprE","Subtilisin-like serine proteases",3,1,0
"COG1408","COG1408","Predicted phosphohydrolases",3,0,2
"COG1409","Icc","Predicted phosphohydrolases",2,0,1
"COG1410","MetH","Methionine synthase I, cobalamin-binding domain",2,1,1
"COG1414","IclR","Transcriptional regulator",7,0,0
"COG1418","COG1418","Predicted HD superfamily hydrolase",4,2,2
"COG1432","COG1432","Uncharacterized conserved protein",1,0,0
"COG1433","COG1433","Uncharacterized conserved protein",1,0,0
"COG1434","COG1434","Uncharacterized conserved protein",1,2,1
"COG1436","NtpG","Archaeal/vacuolar-type H+-ATPase subunit F",2,1,1
"COG1438","ArgR","Arginine repressor",2,1,0
"COG1440","CelA","Phosphotransferase system cellobiose-specific component IIB",2,0,12
"COG1442","RfaJ","Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases",1,0,0
"COG1443","Idi","Isopentenyldiphosphate isomerase",1,2,1
"COG1444","COG1444","Predicted P-loop ATPase fused to an acetyltransferase",1,0,0
"COG1445","FrwB","Phosphotransferase system fructose-specific component IIB",4,1,2
"COG1446","COG1446","Asparaginase",1,0,1
"COG1447","CelC","Phosphotransferase system cellobiose-specific component IIA",2,0,3
"COG1451","COG1451","Predicted metal-dependent hydrolase",1,0,1
"COG1453","COG1453","Predicted oxidoreductases of the aldo/keto reductase family",4,0,6
"COG1454","EutG","Alcohol dehydrogenase, class IV",5,3,4
"COG1455","CelB","Phosphotransferase system cellobiose-specific component IIC",3,0,12
"COG1457","CodB","Purine-cytosine permease and related proteins",3,0,0
"COG1459","PulF","Type II secretory pathway, component PulF",2,1,5
"COG1461","COG1461","Predicted kinase related to dihydroxyacetone kinase",1,1,1
"COG1464","NlpA","ABC-type metal ion transport system, periplasmic component/surface antigen",1,0,1
"COG1466","HolA","DNA polymerase III, delta subunit",1,1,1
"COG1468","COG1468","CRISPR-associated protein Cas4 (RecB family exonuclease)",2,0,0
"COG1470","COG1470","Predicted membrane protein",1,0,0
"COG1472","BglX","Beta-glucosidase-related glycosidases",2,1,0
"COG1473","AbgB","Metal-dependent amidase/aminoacylase/carboxypeptidase",15,0,2
"COG1475","Spo0J","Stage 0 sporulation protein J (antagonist of Soj) containing ParB-like nuclease domain",1,3,3
"COG1476","COG1476","Predicted transcriptional regulators",9,3,5
"COG1477","ApbE","Membrane-associated lipoprotein involved in thiamine biosynthesis",1,0,1
"COG1478","COG1478","GTP and metal dependent enzyme involved F420 coenzyme biosynthesis (catalyzes addition of two    l-glutamates to F420 precursor)",1,0,0
"COG1479","COG1479","Uncharacterized conserved protein",1,0,0
"COG1481","COG1481","Uncharacterized protein conserved in bacteria",1,1,1
"COG1482","ManA","Phosphomannose isomerase",2,0,1
"COG1484","DnaC","DNA replication protein",1,1,2
"COG1486","CelF","Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases",4,0,0
"COG1488","PncB","Nicotinic acid phosphoribosyltransferase",1,1,1
"COG1489","SfsA","DNA-binding protein, stimulates sugar fermentation",1,1,0
"COG1490","Dtd","D-Tyr-tRNAtyr deacylase",1,1,2
"COG1492","CobQ","Cobyric acid synthase",2,0,0
"COG1493","HprK","Serine kinase of the HPr protein, regulates carbohydrate metabolism",1,1,1
"COG1496","yfiH","Multicopper polyphenol oxidase (laccase)",1,1,1
"COG1501","COG1501","Alpha-glucosidases, family 31 of glycosyl hydrolases",4,1,0
"COG1502","Cls","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes",4,0,1
"COG1506","DAP2","Dipeptidyl aminopeptidases/acylaminoacyl-peptidases",3,0,1
"COG1509","KamA","Lysine 2,3-aminomutase",1,0,0
"COG1511","COG1511","Predicted membrane protein",4,1,2
"COG1512","COG1512","Beta-propeller domains of methanol dehydrogenase type",1,1,0
"COG1516","FliS","Flagellin-specific chaperone FliS",1,0,0
"COG1518","COG1518","CRISPR-associated protein Cas1",2,1,1
"COG1521","COG1521","Pantothenate kinase type III (Bvg accessory factor family protein)",1,1,1
"COG1522","Lrp","Transcriptional regulators",3,1,2
"COG1523","PulA","Type II secretory pathway, pullulanase PulA and related glycosidases",2,3,0
"COG1524","COG1524","Uncharacterized proteins of the AP superfamily",1,0,0
"COG1526","FdhD","Uncharacterized protein required for formate dehydrogenase activity",1,0,0
"COG1527","NtpC","Archaeal/vacuolar-type H+-ATPase subunit C",2,1,1
"COG1528","Ftn","Ferritin-like protein",1,0,0
"COG1529","CoxL","Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",16,0,1
"COG1530","CafA","Ribonucleases G and E",1,0,0
"COG1533","SplB","DNA repair photolyase",2,1,1
"COG1534","COG1534","Predicted RNA-binding protein containing KH domain, possibly ribosomal protein",1,1,1
"COG1536","FliG","Flagellar motor switch protein",1,0,0
"COG1538","TolC","Outer membrane protein",4,0,0
"COG1539","FolB","Dihydroneopterin aldolase",1,0,0
"COG1541","PaaK","Coenzyme F390 synthetase",6,0,0
"COG1544","COG1544","Ribosome-associated protein Y (PSrp-1)",1,1,1
"COG1546","CinA","Uncharacterized protein (competence- and mitomycin-induced)",1,1,1
"COG1551","CsrA","RNA-binding global regulator CsrA",1,0,0
"COG1558","FlgC","Flagellar basal body rod protein",1,0,0
"COG1559","COG1559","Aminodeoxychorismate lyase",1,1,1
"COG1561","COG1561","Uncharacterized stress-induced protein",1,1,0
"COG1563","COG1563","Predicted subunit of the Multisubunit Na+/H+ antiporter",1,0,0
"COG1564","THI80","Thiamine pyrophosphokinase",1,1,1
"COG1566","EmrA","Multidrug resistance efflux pump",1,0,0
"COG1570","XseA","Exonuclease VII, large subunit",1,1,1
"COG1574","COG1574","Predicted metal-dependent hydrolase with the TIM-barrel fold",3,0,0
"COG1582","FlgEa","Uncharacterized protein, possibly involved in motility",1,0,0
"COG1585","COG1585","Membrane protein implicated in regulation of membrane protease activity",1,1,1
"COG1586","SpeD","S-adenosylmethionine decarboxylase",1,0,0
"COG1587","HemD","Uroporphyrinogen-III synthase",1,1,0
"COG1592","COG1592","Rubrerythrin",6,2,3
"COG1593","DctQ","TRAP-type C4-dicarboxylate transport system, large permease component",28,0,0
"COG1595","RpoE","DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",10,2,5
"COG1597","LCB5","Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase",2,0,2
"COG1598","COG1598","Predicted nuclease of the RNAse H fold, HicB family",1,0,1
"COG1605","PheA","Chorismate mutase",1,1,1
"COG1606","COG1606","ATP-utilizing enzymes of the PP-loop superfamily",1,0,1
"COG1609","PurR","Transcriptional regulators",33,1,6
"COG1610","COG1610","Uncharacterized conserved protein",1,0,0
"COG1619","LdcA","Uncharacterized proteins, homologs of microcin C7 resistance protein MccF",1,1,1
"COG1620","LldP","L-lactate permease",1,0,1
"COG1621","SacC","Beta-fructosidases (levanase/invertase)",2,0,2
"COG1624","COG1624","Uncharacterized conserved protein",1,1,1
"COG1625","COG1625","Fe-S oxidoreductase, related to NifB/MoaA family",1,1,0
"COG1633","COG1633","Uncharacterized conserved protein",1,0,0
"COG1636","COG1636","Uncharacterized protein conserved in bacteria",1,1,1
"COG1638","DctP","TRAP-type C4-dicarboxylate transport system, periplasmic component",31,0,0
"COG1640","MalQ","4-alpha-glucanotransferase",3,1,1
"COG1641","COG1641","Uncharacterized conserved protein",1,0,2
"COG1648","CysG","Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)",1,1,0
"COG1652","XkdP","Uncharacterized protein containing LysM domain",1,0,0
"COG1653","UgpB","ABC-type sugar transport system, periplasmic component",48,4,1
"COG1654","BirA","Biotin operon repressor",1,1,0
"COG1660","COG1660","Predicted P-loop-containing kinase",1,1,1
"COG1661","COG1661","Predicted DNA-binding protein with PD1-like DNA-binding motif",1,0,1
"COG1668","NatB","ABC-type Na+ efflux pump, permease component",1,0,0
"COG1670","RimL","Acetyltransferases, including N-acetylases of ribosomal proteins",4,5,2
"COG1674","FtsK","DNA segregation ATPase FtsK/SpoIIIE and related proteins",2,2,2
"COG1677","FliE","Flagellar hook-basal body protein",1,0,0
"COG1680","AmpC","Beta-lactamase class C and other penicillin binding proteins",2,1,0
"COG1682","TagG","ABC-type polysaccharide/polyol phosphate export systems, permease component",1,1,2
"COG1683","COG1683","Uncharacterized conserved protein",1,0,1
"COG1684","FliR","Flagellar biosynthesis pathway, component FliR",1,0,0
"COG1686","DacC","D-alanyl-D-alanine carboxypeptidase",6,3,5
"COG1687","AzlD","Predicted branched-chain amino acid permeases (azaleucine resistance)",1,0,1
"COG1690","RtcB","Uncharacterized conserved protein",3,0,0
"COG1691","COG1691","NCAIR mutase (PurE)-related proteins",1,0,1
"COG1695","COG1695","Predicted transcriptional regulators",4,0,3
"COG1696","DltB","Predicted membrane protein involved in D-alanine export",3,1,0
"COG1699","COG1699","Uncharacterized protein conserved in bacteria",1,0,0
"COG1702","PhoH","Phosphate starvation-inducible protein PhoH, predicted ATPase",1,1,2
"COG1712","COG1712","Predicted dinucleotide-utilizing enzyme",1,0,0
"COG1713","COG1713","Predicted HD superfamily hydrolase involved in NAD metabolism",1,1,2
"COG1715","Mrr","Restriction endonuclease",1,1,0
"COG1716","COG1716","FOG: FHA domain",1,1,0
"COG1719","COG1719","Predicted hydrocarbon binding protein (contains V4R domain)",1,0,0
"COG1720","COG1720","Uncharacterized conserved protein",1,0,0
"COG1722","XseB","Exonuclease VII small subunit",1,1,1
"COG1725","COG1725","Predicted transcriptional regulators",3,1,2
"COG1729","COG1729","Uncharacterized protein conserved in bacteria",1,0,0
"COG1733","COG1733","Predicted transcriptional regulators",5,0,0
"COG1737","RpiR","Transcriptional regulators",10,1,20
"COG1739","COG1739","Uncharacterized conserved protein",1,1,1
"COG1744","Med","Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein",6,0,1
"COG1749","FlgE","Flagellar hook protein FlgE",1,0,0
"COG1752","RssA","Predicted esterase of the alpha-beta hydrolase superfamily",2,0,2
"COG1754","COG1754","Uncharacterized C-terminal domain of topoisomerase IA",1,0,0
"COG1757","NhaC","Na+/H+ antiporter",6,0,1
"COG1758","RpoZ","DNA-directed RNA polymerase, subunit K/omega",1,1,0
"COG1760","SdaA","L-serine deaminase",5,0,1
"COG1762","PtsN","Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)",11,1,6
"COG1763","MobB","Molybdopterin-guanine dinucleotide biosynthesis protein",1,0,0
"COG1766","fliF","Flagellar basal body M-ring protein",1,0,0
"COG1767","CitG","Triphosphoribosyl-dephospho-CoA synthetase",1,0,0
"COG1768","COG1768","Predicted phosphohydrolase",1,1,0
"COG1773","COG1773","Rubredoxin",2,0,1
"COG1774","COG1774","Uncharacterized homolog of PSP1",1,1,1
"COG1775","HgdB","Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB",1,0,0
"COG1776","CheC","Chemotaxis protein CheC, inhibitor of MCP methylation",3,0,0
"COG1781","PyrI","Aspartate carbamoyltransferase, regulatory subunit",1,1,0
"COG1792","MreC","Cell shape-determining protein",1,0,1
"COG1794","RacX","Aspartate racemase",1,0,0
"COG1797","CobB","Cobyrinic acid a,c-diamide synthase",1,0,0
"COG1799","COG1799","Uncharacterized protein conserved in bacteria",1,1,1
"COG1802","GntR","Transcriptional regulators",16,0,1
"COG1803","MgsA","Methylglyoxal synthase",2,1,0
"COG1804","CaiB","Predicted acyl-CoA transferases/carnitine dehydratase",4,0,0
"COG1811","COG1811","Uncharacterized membrane protein, possible Na+ channel or pump",2,0,2
"COG1813","COG1813","Predicted transcription factor, homolog of eukaryotic MBF1",1,0,0
"COG1815","FlgB","Flagellar basal body protein",1,0,0
"COG1819","COG1819","Glycosyl transferases, related to UDP-glucuronosyltransferase",1,0,0
"COG1820","NagA","N-acetylglucosamine-6-phosphate deacetylase",2,0,1
"COG1827","COG1827","Predicted small molecule binding protein (contains 3H domain)",1,0,1
"COG1830","FbaB","DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes",1,0,0
"COG1835","COG1835","Predicted acyltransferases",1,1,1
"COG1837","COG1837","Predicted RNA-binding protein (contains KH domain)",1,1,2
"COG1838","FumA","Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain",2,1,1
"COG1840","AfuA","ABC-type Fe3+ transport system, periplasmic component",9,0,0
"COG1841","RpmD","Ribosomal protein L30/L7E",1,1,1
"COG1843","FlgD","Flagellar hook capping protein",1,0,0
"COG1846","MarR","Transcriptional regulators",14,3,10
"COG1847","Jag","Predicted RNA-binding protein",1,1,1
"COG1850","RbcL","Ribulose 1,5-bisphosphate carboxylase, large subunit",1,0,0
"COG1853","COG1853","Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family",2,1,4
"COG1854","LuxS","LuxS protein involved in autoinducer AI2 synthesis",1,1,1
"COG1859","KptA","RNA:NAD 2'-phosphotransferase",1,0,0
"COG1862","YajC","Preprotein translocase subunit YajC",2,1,0
"COG1863","MnhE","Multisubunit Na+/H+ antiporter, MnhE subunit",1,0,0
"COG1866","PckA","Phosphoenolpyruvate carboxykinase (ATP)",1,1,1
"COG1868","FliM","Flagellar motor switch protein",1,0,0
"COG1869","RbsD","ABC-type ribose transport system, auxiliary component",3,0,0
"COG1871","CheD","Chemotaxis protein; stimulates methylation of MCP proteins",1,0,0
"COG1873","COG1873","Protein implicated in RNA metabolism, contains PRC-barrel domain",1,1,1
"COG1876","VanY","D-alanyl-D-alanine carboxypeptidase",1,1,3
"COG1878","COG1878","Kynurenine formamidase",3,1,0
"COG1879","RbsB","ABC-type sugar transport system, periplasmic component",33,0,1
"COG1882","PflD","Pyruvate-formate lyase",5,1,3
"COG1883","OadB","Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit",2,1,0
"COG1886","FliN","Flagellar motor switch/type III secretory pathway protein",2,0,0
"COG1893","ApbA","Ketopantoate reductase",2,0,1
"COG1894","NuoF","NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit",4,0,0
"COG1896","COG1896","Predicted hydrolases of HD superfamily",1,1,1
"COG1897","MetA","Homoserine trans-succinylase",1,1,1
"COG1898","RfbC","dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes",1,0,1
"COG1903","CbiD","Cobalamin biosynthesis protein CbiD",1,0,0
"COG1904","UxaC","Glucuronate isomerase",2,0,0
"COG1905","NuoE","NADH:ubiquinone oxidoreductase 24 kD subunit",6,0,0
"COG1906","COG1906","Uncharacterized conserved protein",2,0,0
"COG1914","MntH","Mn2+ and Fe2+ transporters of the NRAMP family",1,0,0
"COG1915","COG1915","Uncharacterized conserved protein",1,0,0
"COG1917","COG1917","Uncharacterized conserved protein, contains double-stranded beta-helix domain",11,3,3
"COG1918","FeoA","Fe2+ transport system protein A",5,3,3
"COG1921","SelA","Selenocysteine synthase",1,0,0
"COG1924","COG1924","Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain)",3,2,2
"COG1925","FruB","Phosphotransferase system, HPr-related proteins",9,2,3
"COG1929","COG1929","Glycerate kinase",2,0,1
"COG1932","SerC","Phosphoserine aminotransferase",1,1,0
"COG1937","COG1937","Uncharacterized protein conserved in bacteria",1,1,1
"COG1939","COG1939","Ribonuclease III family protein",1,1,1
"COG1940","NagC","Transcriptional regulator/sugar kinase",8,2,8
"COG1943","COG1943","Transposase and inactivated derivatives",1,0,2
"COG1947","IspE","4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase",1,1,1
"COG1951","TtdA","Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain",2,1,1
"COG1953","FUI1","Cytosine/uracil/thiamine/allantoin permeases",2,0,0
"COG1954","GlpP","Glycerol-3-phosphate responsive antiterminator (mRNA-binding)",1,0,0
"COG1957","URH1","Inosine-uridine nucleoside N-ribohydrolase",5,0,0
"COG1959","COG1959","Predicted transcriptional regulator",4,3,3
"COG1961","PinR","Site-specific recombinases, DNA invertase Pin homologs",6,2,0
"COG1963","COG1963","Uncharacterized protein conserved in bacteria",1,0,0
"COG1966","CstA","Carbon starvation protein, predicted membrane protein",3,0,0
"COG1968","BacA","Undecaprenyl pyrophosphate phosphatase",1,2,0
"COG1970","MscL","Large-conductance mechanosensitive channel",1,1,1
"COG1971","COG1971","Predicted membrane protein",2,1,2
"COG1972","NupC","Nucleoside permease",1,0,0
"COG1974","LexA","SOS-response transcriptional repressors (RecA-mediated autopeptidases)",1,1,2
"COG1975","XdhC","Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family",1,0,2
"COG1979","COG1979","Uncharacterized oxidoreductases, Fe-dependent alcohol dehydrogenase family",3,0,1
"COG1982","LdcC","Arginine/lysine/ornithine decarboxylases",1,1,0
"COG1983","PspC","Putative stress-responsive transcriptional regulator",1,0,1
"COG1985","RibD","Pyrimidine reductase, riboflavin biosynthesis",2,1,0
"COG1987","FliQ","Flagellar biosynthesis pathway, component FliQ",1,0,0
"COG1988","COG1988","Predicted membrane-bound metal-dependent hydrolases",1,0,0
"COG1989","PulO","Type II secretory pathway, prepilin signal peptidase PulO and related peptidases",1,1,1
"COG1995","PdxA","Pyridoxal phosphate biosynthesis protein",3,0,0
"COG2001","COG2001","Uncharacterized protein conserved in bacteria",2,1,1
"COG2002","AbrB","Regulators of stationary/sporulation gene expression",2,2,0
"COG2003","RadC","DNA repair proteins",1,1,1
"COG2005","ModE","N-terminal domain of molybdenum-binding protein",2,0,1
"COG2006","COG2006","Uncharacterized conserved protein",2,0,0
"COG2008","GLY1","Threonine aldolase",3,0,1
"COG2011","AbcD","ABC-type metal ion transport system, permease component",1,0,1
"COG2013","COG2013","Uncharacterized conserved protein",1,1,1
"COG2014","COG2014","Uncharacterized conserved protein",1,0,0
"COG2015","COG2015","Alkyl sulfatase and related hydrolases",2,0,0
"COG2017","GalM","Galactose mutarotase and related enzymes",3,1,2
"COG2020","STE14","Putative protein-S-isoprenylcysteine methyltransferase",1,1,0
"COG2025","FixB","Electron transfer flavoprotein, alpha subunit",3,0,0
"COG2030","MaoC","Acyl dehydratase",1,0,0
"COG2033","COG2033","Desulfoferrodoxin",3,0,1
"COG2035","COG2035","Predicted membrane protein",2,0,0
"COG2038","CobT","NaMN:DMB phosphoribosyltransferase",1,0,0
"COG2045","COG2045","Phosphosulfolactate phosphohydrolase and related enzymes",1,0,0
"COG2050","PaaI","HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism",1,0,0
"COG2055","COG2055","Malate/L-lactate dehydrogenases",4,0,0
"COG2058","RPP1A","Ribosomal protein L12E/L44/L45/RPP1/RPP2",1,0,0
"COG2059","ChrA","Chromate transport protein ChrA",2,0,2
"COG2060","KdpA","K+-transporting ATPase, A chain",2,0,0
"COG2068","COG2068","Uncharacterized MobA-related protein",4,0,1
"COG2070","COG2070","Dioxygenases related to 2-nitropropane dioxygenase",3,2,2
"COG2071","COG2071","Predicted glutamine amidotransferases",2,1,0
"COG2078","AMMECR1","Uncharacterized conserved protein",1,0,0
"COG2080","CoxS","Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS homologs",14,0,1
"COG2081","COG2081","Predicted flavoproteins",3,2,1
"COG2082","CobH","Precorrin isomerase",1,0,0
"COG2084","MmsB","3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases",2,0,0
"COG2086","FixA","Electron transfer flavoprotein, beta subunit",3,0,0
"COG2087","CobU","Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase",2,0,0
"COG2088","SpoVG","Uncharacterized protein, involved in the regulation of septum location",3,0,0
"COG2091","Sfp","Phosphopantetheinyl transferase",1,1,0
"COG2099","CobK","Precorrin-6x reductase",2,0,0
"COG2103","COG2103","Predicted sugar phosphate isomerase",1,0,1
"COG2109","BtuR","ATP:corrinoid adenosyltransferase",2,1,0
"COG2110","COG2110","Predicted phosphatase homologous to the C-terminal domain of histone macroH2A1",3,1,1
"COG2111","MnhB","Multisubunit Na+/H+ antiporter, MnhB subunit",2,0,0
"COG2115","XylA","Xylose isomerase",1,0,0
"COG2116","FocA","Formate/nitrite family of transporters",1,1,1
"COG2121","COG2121","Uncharacterized protein conserved in bacteria",1,0,0
"COG2131","ComEB","Deoxycytidylate deaminase",1,1,1
"COG2135","COG2135","Uncharacterized conserved protein",1,0,0
"COG2137","OraA","Uncharacterized protein conserved in bacteria",1,1,2
"COG2145","ThiM","Hydroxyethylthiazole kinase, sugar kinase family",1,0,1
"COG2148","WcaJ","Sugar transferases involved in lipopolysaccharide synthesis",4,2,2
"COG2155","COG2155","Uncharacterized conserved protein",1,1,0
"COG2156","KdpC","K+-transporting ATPase, c chain",1,0,0
"COG2159","COG2159","Predicted metal-dependent hydrolase of the TIM-barrel fold",3,2,2
"COG2160","AraA","L-arabinose isomerase",1,0,0
