Name	Description	Accession	cog_table	EG18NEC_Bin13	EG18NEC_Bin8	EG18NEC_Bin12	EG18NEC_Bin13	EG18NEC_Bin8
COG1561	Uncharacterized stress-induced protein	COG1561	Uncharacterized stress-induced protein	0	1	1	0	1
ERG9	Phytoene/squalene synthetase	COG1562	Phytoene/squalene synthetase	1	1	1	1	1
THI80	Thiamine pyrophosphokinase	COG1564	Thiamine pyrophosphokinase	1	0	1	1	0
COG1565	Uncharacterized conserved protein	COG1565	Uncharacterized conserved protein	1	1	1	1	1
EmrA	Multidrug resistance efflux pump	COG1566	Multidrug resistance efflux pump	3	2	5	3	2
XseA	Exonuclease VII, large subunit	COG1570	Exonuclease VII, large subunit	1	2	1	1	2
COG1573	Uracil-DNA glycosylase	COG1573	Uracil-DNA glycosylase	3	3	3	3	3
COG1576	Uncharacterized conserved protein	COG1576	Uncharacterized conserved protein	1	0	1	1	0
FliL	Flagellar basal body-associated protein	COG1580	Flagellar basal body-associated protein	0	0	1	0	0
COG1585	Membrane protein implicated in regulation of membrane protease activity	COG1585	Membrane protein implicated in regulation of membrane protease activity	1	1	1	1	1
HemD	Uroporphyrinogen-III synthase	COG1587	Uroporphyrinogen-III synthase	1	1	1	1	1
FtsQ	Cell division septal protein	COG1589	Cell division septal protein	1	1	1	1	1
DctQ	TRAP-type C4-dicarboxylate transport system, large permease component	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	8	7	12	8	7
RpoE	DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog	2	0	3	2	0
Wza	Periplasmic protein involved in polysaccharide export, contains    SLBB domain of b-grasp fold	COG1596	Periplasmic protein involved in polysaccharide export, contains    SLBB domain of b-grasp fold	0	0	1	0	0
COG1600	Uncharacterized Fe-S protein	COG1600	Uncharacterized Fe-S protein	2	1	2	2	1
PheA	Chorismate mutase	COG1605	Chorismate mutase	1	2	1	1	2
COG1607	Acyl-CoA hydrolase	COG1607	Acyl-CoA hydrolase	0	0	1	0	0
PurR	Transcriptional regulators	COG1609	Transcriptional regulators	5	9	15	5	9
COG1611	Predicted Rossmann fold nucleotide-binding protein	COG1611	Predicted Rossmann fold nucleotide-binding protein	1	3	1	1	3
CtaA	Uncharacterized protein required for cytochrome oxidase assembly	COG1612	Uncharacterized protein required for cytochrome oxidase assembly	1	1	1	1	1
SacC	Beta-fructosidases (levanase/invertase)	COG1621	Beta-fructosidases (levanase/invertase)	0	0	2	0	0
CyoA	Heme/copper-type cytochrome/quinol oxidases, subunit 2	COG1622	Heme/copper-type cytochrome/quinol oxidases, subunit 2	1	1	1	1	1
DctP	TRAP-type C4-dicarboxylate transport system, periplasmic component	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	9	9	12	9	9
HrpA	HrpA-like helicases	COG1643	HrpA-like helicases	1	0	1	1	0
CysG	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	COG1648	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	1	1	1	1	1
DsbG	Protein-disulfide isomerase	COG1651	Protein-disulfide isomerase	2	2	2	2	2
XkdP	Uncharacterized protein containing LysM domain	COG1652	Uncharacterized protein containing LysM domain	0	2	2	0	2
UgpB	ABC-type sugar transport system, periplasmic component	COG1653	ABC-type sugar transport system, periplasmic component	8	5	21	8	5
LpxK	Tetraacyldisaccharide-1-P 4'-kinase	COG1663	Tetraacyldisaccharide-1-P 4'-kinase	1	1	1	1	1
RimL	Acetyltransferases, including N-acetylases of ribosomal proteins	COG1670	Acetyltransferases, including N-acetylases of ribosomal proteins	7	5	9	7	5
COG1671	Uncharacterized protein conserved in bacteria	COG1671	Uncharacterized protein conserved in bacteria	1	0	1	1	0
FtsK	DNA segregation ATPase FtsK/SpoIIIE and related proteins	COG1674	DNA segregation ATPase FtsK/SpoIIIE and related proteins	2	1	1	2	1
FliE	Flagellar hook-basal body protein	COG1677	Flagellar hook-basal body protein	0	0	1	0	0
COG1678	Putative transcriptional regulator	COG1678	Putative transcriptional regulator	1	1	1	1	1
AmpC	Beta-lactamase class C and other penicillin binding proteins	COG1680	Beta-lactamase class C and other penicillin binding proteins	2	0	4	2	0
FliR	Flagellar biosynthesis pathway, component FliR	COG1684	Flagellar biosynthesis pathway, component FliR	0	0	1	0	0
DacC	D-alanyl-D-alanine carboxypeptidase	COG1686	D-alanyl-D-alanine carboxypeptidase	4	3	3	4	3
COG1692	Calcineurin-like phosphoesterase	COG1692	Calcineurin-like phosphoesterase	1	1	1	1	1
COG1695	Predicted transcriptional regulators	COG1695	Predicted transcriptional regulators	1	0	2	1	0
PhoH	Phosphate starvation-inducible protein PhoH, predicted ATPase	COG1702	Phosphate starvation-inducible protein PhoH, predicted ATPase	1	1	1	1	1
FlgI	Flagellar basal-body P-ring protein	COG1706	Flagellar basal-body P-ring protein	0	0	1	0	0
COG1714	Predicted membrane protein/domain	COG1714	Predicted membrane protein/domain	1	1	1	1	1
COG1721	Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain)	COG1721	Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain)	1	1	1	1	1
XseB	Exonuclease VII small subunit	COG1722	Exonuclease VII small subunit	1	1	1	1	1
COG1729	Uncharacterized protein conserved in bacteria	COG1729	Uncharacterized protein conserved in bacteria	1	1	1	1	1
COG1733	Predicted transcriptional regulators	COG1733	Predicted transcriptional regulators	0	2	4	0	2
DksA	DnaK suppressor protein	COG1734	DnaK suppressor protein	1	2	3	1	2
RpiR	Transcriptional regulators	COG1737	Transcriptional regulators	1	0	3	1	0
yhhQ	Uncharacterized member of the PurR regulon	COG1738	Uncharacterized member of the PurR regulon	1	1	1	1	1
COG1739	Uncharacterized conserved protein	COG1739	Uncharacterized conserved protein	0	0	1	0	0
COG1741	Pirin-related protein	COG1741	Pirin-related protein	0	1	2	0	1
Med	Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein	COG1744	Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein	2	2	3	2	2
LYS9	Saccharopine dehydrogenase and related proteins	COG1748	Saccharopine dehydrogenase and related proteins	0	1	3	0	1
FlgE	Flagellar hook protein FlgE	COG1749	Flagellar hook protein FlgE	0	0	1	0	0
RssA	Predicted esterase of the alpha-beta hydrolase superfamily	COG1752	Predicted esterase of the alpha-beta hydrolase superfamily	0	1	2	0	1
COG1754	Uncharacterized C-terminal domain of topoisomerase IA	COG1754	Uncharacterized C-terminal domain of topoisomerase IA	1	2	1	1	2
RpoZ	DNA-directed RNA polymerase, subunit K/omega	COG1758	DNA-directed RNA polymerase, subunit K/omega	1	1	1	1	1
SdaA	L-serine deaminase	COG1760	L-serine deaminase	1	1	1	1	1
PtsN	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	COG1762	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	1	1	1	1	1
MobB	Molybdopterin-guanine dinucleotide biosynthesis protein	COG1763	Molybdopterin-guanine dinucleotide biosynthesis protein	1	1	1	1	1
COG1765	Predicted redox protein, regulator of disulfide bond formation	COG1765	Predicted redox protein, regulator of disulfide bond formation	2	1	2	2	1
fliF	Flagellar basal body M-ring protein	COG1766	Flagellar basal body M-ring protein	0	0	1	0	0
PtrB	Protease II	COG1770	Protease II	1	1	1	1	1
AtoD	Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit	COG1788	Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit	0	0	1	0	0
RacX	Aspartate racemase	COG1794	Aspartate racemase	2	1	2	2	1
CobB	Cobyrinic acid a,c-diamide synthase	COG1797	Cobyrinic acid a,c-diamide synthase	1	1	1	1	1
GntR	Transcriptional regulators	COG1802	Transcriptional regulators	0	2	6	0	2
MgsA	Methylglyoxal synthase	COG1803	Methylglyoxal synthase	0	0	1	0	0
CaiB	Predicted acyl-CoA transferases/carnitine dehydratase	COG1804	Predicted acyl-CoA transferases/carnitine dehydratase	3	2	2	3	2
ArnT	4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	COG1807	4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	0	0	1	0	0
COG1814	Uncharacterized membrane protein	COG1814	Uncharacterized membrane protein	1	0	1	1	0
FlgB	Flagellar basal body protein	COG1815	Flagellar basal body protein	0	0	1	0	0
Add	Adenosine deaminase	COG1816	Adenosine deaminase	1	1	1	1	1
NagA	N-acetylglucosamine-6-phosphate deacetylase	COG1820	N-acetylglucosamine-6-phosphate deacetylase	1	1	2	1	1
RplY	Ribosomal protein L25 (general stress protein Ctc)	COG1825	Ribosomal protein L25 (general stress protein Ctc)	1	1	1	1	1
TatA	Sec-independent protein secretion pathway components	COG1826	Sec-independent protein secretion pathway components	2	2	2	2	2
PurS	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	1	1	1	1	1
COG1835	Predicted acyltransferases	COG1835	Predicted acyltransferases	3	0	1	3	0
AfuA	ABC-type Fe3+ transport system, periplasmic component	COG1840	ABC-type Fe3+ transport system, periplasmic component	2	1	4	2	1
RpmD	Ribosomal protein L30/L7E	COG1841	Ribosomal protein L30/L7E	1	1	1	1	1
FlgD	Flagellar hook capping protein	COG1843	Flagellar hook capping protein	0	0	1	0	0
CyoC	Heme/copper-type cytochrome/quinol oxidase, subunit 3	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	1	1	1	1	1
MarR	Transcriptional regulators	COG1846	Transcriptional regulators	7	6	20	7	6
RbcL	Ribulose 1,5-bisphosphate carboxylase, large subunit	COG1850	Ribulose 1,5-bisphosphate carboxylase, large subunit	0	0	1	0	0
COG1853	Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family	COG1853	Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family	3	1	2	3	1
MauG	Cytochrome c peroxidase	COG1858	Cytochrome c peroxidase	1	1	2	1	1
YajC	Preprotein translocase subunit YajC	COG1862	Preprotein translocase subunit YajC	1	1	1	1	1
MnhE	Multisubunit Na+/H+ antiporter, MnhE subunit	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit	1	1	1	1	1
PckA	Phosphoenolpyruvate carboxykinase (ATP)	COG1866	Phosphoenolpyruvate carboxykinase (ATP)	1	1	1	1	1
FliM	Flagellar motor switch protein	COG1868	Flagellar motor switch protein	0	0	1	0	0
CheD	Chemotaxis protein; stimulates methylation of MCP proteins	COG1871	Chemotaxis protein; stimulates methylation of MCP proteins	0	0	1	0	0
COG1872	Uncharacterized conserved protein	COG1872	Uncharacterized conserved protein	0	1	1	0	1
LacA	Beta-galactosidase	COG1874	Beta-galactosidase	1	1	2	1	1
RbsB	ABC-type sugar transport system, periplasmic component	COG1879	ABC-type sugar transport system, periplasmic component	2	8	11	2	8
Sbm	Methylmalonyl-CoA mutase, N-terminal domain/subunit	COG1884	Methylmalonyl-CoA mutase, N-terminal domain/subunit	1	1	1	1	1
FliN	Flagellar motor switch/type III secretory pathway protein	COG1886	Flagellar motor switch/type III secretory pathway protein	0	0	1	0	0
NuoF	NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit	2	3	2	2	3
COG1896	Predicted hydrolases of HD superfamily	COG1896	Predicted hydrolases of HD superfamily	1	1	2	1	1
RfbC	dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes	0	0	1	0	0
NemA	NADH:flavin oxidoreductases, Old Yellow Enzyme family	COG1902	NADH:flavin oxidoreductases, Old Yellow Enzyme family	2	0	2	2	0
CbiD	Cobalamin biosynthesis protein CbiD	COG1903	Cobalamin biosynthesis protein CbiD	1	1	1	1	1
UxaC	Glucuronate isomerase	COG1904	Glucuronate isomerase	0	0	1	0	0
NuoE	NADH:ubiquinone oxidoreductase 24 kD subunit	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit	2	2	2	2	2
COG1917	Uncharacterized conserved protein, contains double-stranded beta-helix domain	COG1917	Uncharacterized conserved protein, contains double-stranded beta-helix domain	0	1	5	0	1
WecG	Teichoic acid biosynthesis proteins	COG1922	Teichoic acid biosynthesis proteins	0	0	1	0	0
Hfq	Uncharacterized host factor I protein	COG1923	Uncharacterized host factor I protein	1	1	1	1	1
FruB	Phosphotransferase system, HPr-related proteins	COG1925	Phosphotransferase system, HPr-related proteins	1	1	1	1	1
SerC	Phosphoserine aminotransferase	COG1932	Phosphoserine aminotransferase	1	1	1	1	1
COG1934	Uncharacterized protein conserved in bacteria	COG1934	Uncharacterized protein conserved in bacteria	1	1	1	1	1
NagC	Transcriptional regulator/sugar kinase	COG1940	Transcriptional regulator/sugar kinase	0	1	10	0	1
COG1942	Uncharacterized protein, 4-oxalocrotonate tautomerase homolog	COG1942	Uncharacterized protein, 4-oxalocrotonate tautomerase homolog	0	0	1	0	0
TesB	Acyl-CoA thioesterase	COG1946	Acyl-CoA thioesterase	1	1	1	1	1
IspE	4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase	COG1947	4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase	1	1	1	1	1
SecB	Preprotein translocase subunit SecB	COG1952	Preprotein translocase subunit SecB	1	1	1	1	1
URH1	Inosine-uridine nucleoside N-ribohydrolase	COG1957	Inosine-uridine nucleoside N-ribohydrolase	0	1	2	0	1
COG1959	Predicted transcriptional regulator	COG1959	Predicted transcriptional regulator	2	2	5	2	2
CaiA	Acyl-CoA dehydrogenases	COG1960	Acyl-CoA dehydrogenases	13	11	4	13	11
PinR	Site-specific recombinases, DNA invertase Pin homologs	COG1961	Site-specific recombinases, DNA invertase Pin homologs	2	1	2	2	1
BacA	Undecaprenyl pyrophosphate phosphatase	COG1968	Undecaprenyl pyrophosphate phosphatase	1	1	1	1	1
MscL	Large-conductance mechanosensitive channel	COG1970	Large-conductance mechanosensitive channel	1	1	1	1	1
LexA	SOS-response transcriptional repressors (RecA-mediated autopeptidases)	COG1974	SOS-response transcriptional repressors (RecA-mediated autopeptidases)	1	1	1	1	1
XdhC	Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	COG1975	Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	2	3	3	2	3
MoaD	Molybdopterin converting factor, small subunit	COG1977	Molybdopterin converting factor, small subunit	1	0	1	1	0
COG1981	Predicted membrane protein	COG1981	Predicted membrane protein	1	1	1	1	1
DUR1	Allophanate hydrolase subunit 2	COG1984	Allophanate hydrolase subunit 2	0	0	1	0	0
RibD	Pyrimidine reductase, riboflavin biosynthesis	COG1985	Pyrimidine reductase, riboflavin biosynthesis	1	1	1	1	1
FliQ	Flagellar biosynthesis pathway, component FliQ	COG1987	Flagellar biosynthesis pathway, component FliQ	0	0	1	0	0
SpoIVFB	Zn-dependent proteases	COG1994	Zn-dependent proteases	0	0	1	0	0
PdxA	Pyridoxal phosphate biosynthesis protein	COG1995	Pyridoxal phosphate biosynthesis protein	1	1	1	1	1
COG1999	Uncharacterized protein SCO1/SenC/PrrC, involved in biogenesis of respiratory and photosynthetic systems	COG1999	Uncharacterized protein SCO1/SenC/PrrC, involved in biogenesis of respiratory and photosynthetic systems	2	1	2	2	1
COG2001	Uncharacterized protein conserved in bacteria	COG2001	Uncharacterized protein conserved in bacteria	0	0	1	0	0
RadC	DNA repair proteins	COG2003	DNA repair proteins	1	1	1	1	1
GLY1	Threonine aldolase	COG2008	Threonine aldolase	1	1	1	1	1
SdhC	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit	COG2009	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit	1	1	1	1	1
CccA	Cytochrome c, mono- and diheme variants	COG2010	Cytochrome c, mono- and diheme variants	2	6	4	2	6
GalM	Galactose mutarotase and related enzymes	COG2017	Galactose mutarotase and related enzymes	1	1	1	1	1
STE14	Putative protein-S-isoprenylcysteine methyltransferase	COG2020	Putative protein-S-isoprenylcysteine methyltransferase	2	1	1	2	1
MET2	Homoserine acetyltransferase	COG2021	Homoserine acetyltransferase	0	1	1	0	1
ThiG	Uncharacterized enzyme of thiazole biosynthesis	COG2022	Uncharacterized enzyme of thiazole biosynthesis	0	0	1	0	0
FixB	Electron transfer flavoprotein, alpha subunit	COG2025	Electron transfer flavoprotein, alpha subunit	1	1	1	1	1
MaoC	Acyl dehydratase	COG2030	Acyl dehydratase	4	3	2	4	3
CobT	NaMN:DMB phosphoribosyltransferase	COG2038	NaMN:DMB phosphoribosyltransferase	1	1	1	1	1
Pcp	Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)	COG2039	Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)	0	0	1	0	0
COG2041	Sulfite oxidase and related enzymes	COG2041	Sulfite oxidase and related enzymes	0	0	2	0	0
DUR1	Allophanate hydrolase subunit 1	COG2049	Allophanate hydrolase subunit 1	0	0	1	0	0
PaaI	HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism	COG2050	HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism	4	1	1	4	1
COG2055	Malate/L-lactate dehydrogenases	COG2055	Malate/L-lactate dehydrogenases	1	2	1	1	2
AtoA	Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit	COG2057	Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit	0	0	1	0	0
ChrA	Chromate transport protein ChrA	COG2059	Chromate transport protein ChrA	2	0	2	2	0
FlgH	Flagellar basal body L-ring protein	COG2063	Flagellar basal body L-ring protein	0	0	1	0	0
TadC	Flp pilus assembly protein TadC	COG2064	Flp pilus assembly protein TadC	0	0	1	0	0
COG2068	Uncharacterized MobA-related protein	COG2068	Uncharacterized MobA-related protein	1	1	1	1	1
CbiG	Cobalamin biosynthesis protein CbiG	COG2073	Cobalamin biosynthesis protein CbiG	1	1	1	1	1
PrpD	Uncharacterized protein involved in propionate catabolism	COG2079	Uncharacterized protein involved in propionate catabolism	0	0	1	0	0
CoxS	Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS homologs	COG2080	Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS homologs	2	3	2	2	3
COG2081	Predicted flavoproteins	COG2081	Predicted flavoproteins	1	1	1	1	1
CobH	Precorrin isomerase	COG2082	Precorrin isomerase	1	1	1	1	1
MmsB	3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases	COG2084	3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases	2	5	6	2	5
FixA	Electron transfer flavoprotein, beta subunit	COG2086	Electron transfer flavoprotein, beta subunit	1	1	1	1	1
CobU	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	COG2087	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	1	1	1	1	1
MarC	Multiple antibiotic transporter	COG2095	Multiple antibiotic transporter	2	0	1	2	0
COG2096	cob(I)alamin adenosyltransferase	COG2096	cob(I)alamin adenosyltransferase	1	1	1	1	1
CobK	Precorrin-6x reductase	COG2099	Precorrin-6x reductase	1	1	1	1	1
COG2103	Predicted sugar phosphate isomerase	COG2103	Predicted sugar phosphate isomerase	1	1	1	1	1
ThiS	Sulfur transfer protein involved in thiamine biosynthesis	COG2104	Sulfur transfer protein involved in thiamine biosynthesis	0	0	1	0	0
COG2105	Uncharacterized conserved protein	COG2105	Uncharacterized conserved protein	0	0	1	0	0
BtuR	ATP:corrinoid adenosyltransferase	COG2109	ATP:corrinoid adenosyltransferase	1	1	1	1	1
MnhB	Multisubunit Na+/H+ antiporter, MnhB subunit	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit	2	2	2	2	2
ProX	ABC-type proline/glycine betaine transport systems, periplasmic components	COG2113	ABC-type proline/glycine betaine transport systems, periplasmic components	2	5	3	2	5
XylA	Xylose isomerase	COG2115	Xylose isomerase	1	2	1	1	2
COG2120	Uncharacterized proteins, LmbE homologs	COG2120	Uncharacterized proteins, LmbE homologs	0	0	1	0	0
COG2121	Uncharacterized protein conserved in bacteria	COG2121	Uncharacterized protein conserved in bacteria	0	1	1	0	1
COG2122	Uncharacterized conserved protein	COG2122	Uncharacterized conserved protein	0	1	1	0	1
CypX	Cytochrome P450	COG2124	Cytochrome P450	3	4	4	3	4
COG2127	Uncharacterized conserved protein	COG2127	Uncharacterized conserved protein	1	1	1	1	1
COG2128	Uncharacterized conserved protein	COG2128	Uncharacterized conserved protein	1	2	3	1	2
COG2133	Glucose/sorbosone dehydrogenases	COG2133	Glucose/sorbosone dehydrogenases	1	0	1	1	0
COG2135	Uncharacterized conserved protein	COG2135	Uncharacterized conserved protein	1	1	1	1	1
COG2138	Sirohydrochlorin ferrochelatase	COG2138	Sirohydrochlorin ferrochelatase	1	1	1	1	1
COG2141	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	COG2141	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	1	0	2	1	0
SdhD	Succinate dehydrogenase, hydrophobic anchor subunit	COG2142	Succinate dehydrogenase, hydrophobic anchor subunit	1	1	1	1	1
COG2143	Thioredoxin-related protein	COG2143	Thioredoxin-related protein	0	0	1	0	0
{NirD	Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases	COG2146	Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases	0	0	1	0	0
WcaJ	Sugar transferases involved in lipopolysaccharide synthesis	COG2148	Sugar transferases involved in lipopolysaccharide synthesis	2	2	1	2	2
PaaD	Predicted metal-sulfur cluster biosynthetic enzyme	COG2151	Predicted metal-sulfur cluster biosynthetic enzyme	2	2	2	2	2
ElaA	Predicted acyltransferase	COG2153	Predicted acyltransferase	1	0	1	1	0
COG2154	Pterin-4a-carbinolamine dehydratase	COG2154	Pterin-4a-carbinolamine dehydratase	1	0	1	1	0
sufE	Cysteine desulfurase SufE subunit	COG2166	Cysteine desulfurase SufE subunit	1	1	1	1	1
Ada	Adenosine deaminase	COG2169	Adenosine deaminase	1	1	1	1	1
DapD	Tetrahydrodipicolinate N-succinyltransferase	COG2171	Tetrahydrodipicolinate N-succinyltransferase	1	1	1	1	1
FtsX	Cell division protein	COG2177	Cell division protein	1	1	1	1	1
NarJ	Nitrate reductase delta subunit	COG2180	Nitrate reductase delta subunit	0	0	1	0	0
NarI	Nitrate reductase gamma subunit	COG2181	Nitrate reductase gamma subunit	0	0	1	0	0
Sbm	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	COG2185	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	1	1	1	1	1
FadR	Transcriptional regulators	COG2186	Transcriptional regulators	0	3	4	0	3
PhnF	Transcriptional regulators	COG2188	Transcriptional regulators	2	1	6	2	1
Bfr	Bacterioferritin (cytochrome b1)	COG2193	Bacterioferritin (cytochrome b1)	0	1	1	0	1
CitB	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	COG2197	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	2	5	13	2	5
COG2199	c-di-GMP synthetase (diguanylate cyclase, GGDEF domain)	COG2199	c-di-GMP synthetase (diguanylate cyclase, GGDEF domain)	1	4	5	1	4
Rtn	c-di-GMP phosphodiesterase class I (EAL domain)	COG2200	c-di-GMP phosphodiesterase class I (EAL domain)	2	4	2	2	4
CheB	Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain	COG2201	Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain	0	0	1	0	0
AtoS	FOG: PAS/PAC domain	COG2202	FOG: PAS/PAC domain	5	3	13	5	3
FhlA	FOG: GAF domain	COG2203	FOG: GAF domain	0	0	1	0	0
AtoC	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains	COG2204	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains	6	7	10	6	7
AraC	AraC-type DNA-binding domain-containing proteins	COG2207	AraC-type DNA-binding domain-containing proteins	2	5	12	2	5
MnhF	Multisubunit Na+/H+ antiporter, MnhF subunit	COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit	1	1	1	1	1
CbpA	DnaJ-class molecular chaperone	COG2214	DnaJ-class molecular chaperone	0	0	1	0	0
COG2215	ABC-type uncharacterized transport system, permease component	COG2215	ABC-type uncharacterized transport system, permease component	1	1	1	1	1
ZntA	Cation transport ATPase	COG2217	Cation transport ATPase	1	2	2	1	2
COG2220	Predicted Zn-dependent hydrolases of the beta-lactamase fold	COG2220	Predicted Zn-dependent hydrolases of the beta-lactamase fold	3	2	3	3	2
AgaS	Predicted phosphosugar isomerases	COG2222	Predicted phosphosugar isomerases	1	0	1	1	0
NarK	Nitrate/nitrite transporter	COG2223	Nitrate/nitrite transporter	0	1	4	0	1
AceA	Isocitrate lyase	COG2224	Isocitrate lyase	1	1	1	1	1
AceB	Malate synthase	COG2225	Malate synthase	1	1	1	1	1
UbiE	Methylase involved in ubiquinone/menaquinone biosynthesis	COG2226	Methylase involved in ubiquinone/menaquinone biosynthesis	5	5	8	5	5
UbiG	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	3	1	2	3	1
Cfa	Cyclopropane fatty acid synthase and related methyltransferases	COG2230	Cyclopropane fatty acid synthase and related methyltransferases	3	1	1	3	1
UraA	Xanthine/uracil permeases	COG2233	Xanthine/uracil permeases	1	1	1	1	1
Iap	Predicted aminopeptidases	COG2234	Predicted aminopeptidases	0	0	1	0	0
MgtE	Mg/Co/Ni transporter MgtE (contains CBS domain)	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)	1	1	1	1	1
PdxK	Pyridoxal/pyridoxine/pyridoxamine kinase	COG2240	Pyridoxal/pyridoxine/pyridoxamine kinase	1	1	1	1	1
CobL	Precorrin-6B methylase 1	COG2241	Precorrin-6B methylase 1	1	1	1	1	1
CobL	Precorrin-6B methylase 2	COG2242	Precorrin-6B methylase 2	1	1	1	1	1
CobF	Precorrin-2 methylase	COG2243	Precorrin-2 methylase	1	1	1	1	1
RfbX	Membrane protein involved in the export of O-antigen and teichoic acid	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	0	1	2	0	1
COG2246	Predicted membrane protein	COG2246	Predicted membrane protein	0	0	1	0	0
MdaB	Putative NADPH-quinone reductase (modulator of drug activity B)	COG2249	Putative NADPH-quinone reductase (modulator of drug activity B)	1	0	2	1	0
RuvB	Holliday junction resolvasome, helicase subunit	COG2255	Holliday junction resolvasome, helicase subunit	1	1	1	1	1
MGS1	ATPase related to the helicase subunit of the Holliday junction resolvase	COG2256	ATPase related to the helicase subunit of the Holliday junction resolvase	1	1	1	1	1
COG2258	Uncharacterized protein conserved in bacteria	COG2258	Uncharacterized protein conserved in bacteria	0	0	1	0	0
COG2259	Predicted membrane protein	COG2259	Predicted membrane protein	0	1	1	0	1
COG2261	Predicted membrane protein	COG2261	Predicted membrane protein	1	0	2	1	0
HflX	GTPases	COG2262	GTPases	1	1	1	1	1
PrmA	Ribosomal protein L11 methylase	COG2264	Ribosomal protein L11 methylase	1	1	1	1	1
TrmA	SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase	COG2265	SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase	1	1	1	1	1
PldB	Lysophospholipase	COG2267	Lysophospholipase	3	2	2	3	2
