"Accession","Name","Description","EG18NEC_Bin12","EG18NEC_Bin13","EG18NEC_Bin8"
"COG1187","RsuA","16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases",1,1,1
"COG1188","COG1188","Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)",1,1,1
"COG1189","COG1189","Predicted rRNA methylase",1,1,1
"COG1190","LysU","Lysyl-tRNA synthetase (class II)",1,0,0
"COG1192","Soj","ATPases involved in chromosome partitioning",1,2,4
"COG1194","MutY","A/G-specific DNA glycosylase",1,1,1
"COG1195","RecF","Recombinational DNA repair ATPase (RecF pathway)",1,1,1
"COG1196","Smc","Chromosome segregation ATPases",9,8,4
"COG1197","Mfd","Transcription-repair coupling factor (superfamily II helicase)",1,1,1
"COG1198","PriA","Primosomal protein N' (replication factor Y) - superfamily II helicase",1,1,1
"COG1200","RecG","RecG-like helicase",1,1,1
"COG1201","Lhr","Lhr-like helicases",1,1,0
"COG1206","Gid","NAD(FAD)-utilizing enzyme possibly involved in translation",1,1,1
"COG1207","GlmU","N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)",1,1,1
"COG1208","GCD1","Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",2,1,2
"COG1210","GalU","UDP-glucose pyrophosphorylase",1,1,1
"COG1211","IspD","4-diphosphocytidyl-2-methyl-D-erithritol synthase",1,1,1
"COG1212","KdsB","CMP-2-keto-3-deoxyoctulosonic acid synthetase",1,1,1
"COG1214","COG1214","Inactive homolog of metal-dependent proteases, putative molecular chaperone",1,1,1
"COG1215","COG1215","Glycosyltransferases, probably involved in cell wall biogenesis",2,1,1
"COG1216","COG1216","Predicted glycosyltransferases",1,0,0
"COG1217","TypA","Predicted membrane GTPase involved in stress response",1,1,1
"COG1218","CysQ","3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase",2,1,1
"COG1219","ClpX","ATP-dependent protease Clp, ATPase subunit",1,1,1
"COG1220","HslU","ATP-dependent protease HslVU (ClpYQ), ATPase subunit",1,1,1
"COG1225","Bcp","Peroxiredoxin",1,2,2
"COG1226","Kch","Kef-type K+ transport systems, predicted NAD-binding component",2,1,1
"COG1228","HutI","Imidazolonepropionase and related amidohydrolases",2,0,1
"COG1230","CzcD","Co/Zn/Cd efflux system component",1,1,0
"COG1231","COG1231","Monoamine oxidase",1,0,0
"COG1235","PhnP","Metal-dependent hydrolases of the beta-lactamase superfamily I",1,2,2
"COG1238","COG1238","Predicted membrane protein",1,0,1
"COG1240","ChlD","Mg-chelatase subunit ChlD",2,0,0
"COG1246","ArgA","N-acetylglutamate synthase and related acetyltransferases",2,1,0
"COG1247","COG1247","Sortase and related acyltransferases",2,1,2
"COG1249","Lpd","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",7,4,4
"COG1250","FadB","3-hydroxyacyl-CoA dehydrogenase",2,3,4
"COG1253","TlyC","Hemolysins and related proteins containing CBS domains",1,2,1
"COG1256","FlgK","Flagellar hook-associated protein",1,0,0
"COG1261","FlgA","Flagellar basal body P-ring biosynthesis protein",1,0,0
"COG1268","BioY","Uncharacterized conserved protein",1,1,1
"COG1270","CbiB","Cobalamin biosynthesis protein CobD/CbiB",1,1,2
"COG1271","CydA","Cytochrome bd-type quinol oxidase, subunit 1",1,1,0
"COG1277","NosY","ABC-type transport system involved in multi-copper enzyme maturation, permease component",1,0,0
"COG1278","CspC","Cold shock proteins",5,3,3
"COG1279","COG1279","Lysine efflux permease",1,1,0
"COG1280","RhtB","Putative threonine efflux protein",11,9,9
"COG1281","COG1281","Disulfide bond chaperones of the HSP33 family",1,1,1
"COG1282","PntB","NAD/NADP transhydrogenase beta subunit",1,1,1
"COG1283","NptA","Na+/phosphate symporter",2,0,0
"COG1286","CvpA","Uncharacterized membrane protein, required for colicin V production",1,1,1
"COG1290","QcrB","Cytochrome b subunit of the bc complex",1,1,1
"COG1291","MotA","Flagellar motor component",1,0,0
"COG1292","BetT","Choline-glycine betaine transporter",2,3,1
"COG1294","AppB","Cytochrome bd-type quinol oxidase, subunit 2",1,1,0
"COG1296","AzlC","Predicted branched-chain amino acid permease (azaleucine resistance)",2,2,1
"COG1298","FlhA","Flagellar biosynthesis pathway, component FlhA",1,1,0
"COG1309","AcrR","Transcriptional regulator",19,4,4
"COG1312","UxuA","D-mannonate dehydratase",1,0,2
"COG1314","SecG","Preprotein translocase subunit SecG",1,1,1
"COG1319","CoxM","Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",2,1,2
"COG1320","MnhG","Multisubunit Na+/H+ antiporter, MnhG subunit",1,1,1
"COG1322","COG1322","Predicted nuclease of restriction endonuclease-like fold, RmuC family",1,1,1
"COG1327","COG1327","Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains",1,1,1
"COG1329","COG1329","Transcriptional regulators, similar to M. xanthus CarD",1,1,1
"COG1335","PncA","Amidases related to nicotinamidase",1,1,1
"COG1338","FliP","Flagellar biosynthesis pathway, component FliP",1,0,0
"COG1344","FlgL","Flagellin and related hook-associated proteins",1,0,0
"COG1349","GlpR","Transcriptional regulators of sugar metabolism",3,0,2
"COG1352","CheR","Methylase of chemotaxis methyl-accepting proteins",1,0,0
"COG1354","scpA","Rec8/ScpA/Scc1-like protein (kleisin family)",1,1,1
"COG1359","COG1359","Uncharacterized conserved protein",5,2,0
"COG1360","MotB","Flagellar motor protein",3,1,1
"COG1364","ArgJ","N-acetylglutamate synthase (N-acetylornithine aminotransferase)",1,1,1
"COG1366","SpoIIAA","Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)",1,0,1
"COG1376","ErfK","Uncharacterized protein conserved in bacteria",6,4,4
"COG1377","FlhB","Flagellar biosynthesis pathway, component FlhB",1,0,0
"COG1381","RecO","Recombinational DNA repair protein (RecF pathway)",1,1,1
"COG1385","COG1385","Uncharacterized protein conserved in bacteria",1,1,2
"COG1386","scpB","Chromosome segregation and condensation protein B",1,2,1
"COG1388","LytE","FOG: LysM repeat",2,2,1
"COG1391","GlnE","Glutamine synthetase adenylyltransferase",1,1,1
"COG1393","ArsC","Arsenate reductase and related proteins, glutaredoxin family",1,1,1
"COG1396","HipB","Predicted transcriptional regulators",9,5,4
"COG1397","DraG","ADP-ribosylglycohydrolase",1,0,0
"COG1402","COG1402","Uncharacterized protein, putative amidase",1,1,1
"COG1403","McrA","Restriction endonuclease",1,1,1
"COG1404","AprE","Subtilisin-like serine proteases",1,0,0
"COG1407","COG1407","Predicted ICC-like phosphoesterases",1,1,0
"COG1409","Icc","Predicted phosphohydrolases",3,1,1
"COG1410","MetH","Methionine synthase I, cobalamin-binding domain",1,1,1
"COG1414","IclR","Transcriptional regulator",5,2,5
"COG1420","HrcA","Transcriptional regulator of heat shock gene",1,1,1
"COG1429","CobN","Cobalamin biosynthesis protein CobN and related Mg-chelatases",1,1,1
"COG1430","COG1430","Uncharacterized conserved protein",1,1,1
"COG1434","COG1434","Uncharacterized conserved protein",3,1,2
"COG1435","Tdk","Thymidine kinase",1,1,1
"COG1448","TyrB","Aspartate/tyrosine/aromatic aminotransferase",1,0,2
"COG1451","COG1451","Predicted metal-dependent hydrolase",1,1,1
"COG1452","Imp","Organic solvent tolerance protein OstA",1,1,1
"COG1454","EutG","Alcohol dehydrogenase, class IV",1,2,0
"COG1463","Ttg2C","ABC-type transport system involved in resistance to organic solvents, periplasmic component",1,2,1
"COG1466","HolA","DNA polymerase III, delta subunit",1,1,2
"COG1472","BglX","Beta-glucosidase-related glycosidases",1,1,1
"COG1473","AbgB","Metal-dependent amidase/aminoacylase/carboxypeptidase",3,2,1
"COG1475","Spo0J","Stage 0 sporulation protein J (antagonist of Soj) containing ParB-like nuclease domain",2,2,3
"COG1476","COG1476","Predicted transcriptional regulators",3,0,3
"COG1477","ApbE","Membrane-associated lipoprotein involved in thiamine biosynthesis",2,0,3
"COG1485","COG1485","Predicted ATPase",1,1,1
"COG1488","PncB","Nicotinic acid phosphoribosyltransferase",1,0,1
"COG1489","SfsA","DNA-binding protein, stimulates sugar fermentation",1,1,1
"COG1492","CobQ","Cobyric acid synthase",1,1,1
"COG1494","GlpX","Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase and related proteins",1,1,1
"COG1495","DsbB","Disulfide bond formation protein DsbB",1,1,1
"COG1496","yfiH","Multicopper polyphenol oxidase (laccase)",1,1,1
"COG1508","RpoN","DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog",1,1,1
"COG1509","KamA","Lysine 2,3-aminomutase",1,0,0
"COG1511","COG1511","Predicted membrane protein",1,0,0
"COG1514","LigT","2'-5' RNA ligase",1,1,0
"COG1519","KdtA","3-deoxy-D-manno-octulosonic-acid transferase",1,1,1
"COG1522","Lrp","Transcriptional regulators",13,7,6
"COG1525","COG1525","Micrococcal nuclease (thermonuclease) homologs",2,2,1
"COG1526","FdhD","Uncharacterized protein required for formate dehydrogenase activity",1,1,1
"COG1529","CoxL","Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",2,3,4
"COG1530","CafA","Ribonucleases G and E",2,2,3
"COG1533","SplB","DNA repair photolyase",1,1,1
"COG1536","FliG","Flagellar motor switch protein",1,0,0
"COG1538","TolC","Outer membrane protein",4,1,1
"COG1539","FolB","Dihydroneopterin aldolase",1,1,1
"COG1540","COG1540","Uncharacterized proteins, homologs of lactam utilization protein B",1,0,0
"COG1541","PaaK","Coenzyme F390 synthetase",3,1,1
"COG1544","COG1544","Ribosome-associated protein Y (PSrp-1)",1,1,1
"COG1546","CinA","Uncharacterized protein (competence- and mitomycin-induced)",1,1,1
"COG1556","COG1556","Uncharacterized conserved protein",1,0,0
"COG1558","FlgC","Flagellar basal body rod protein",1,0,0
"COG1559","COG1559","Aminodeoxychorismate lyase",1,1,1
"COG1560","HtrB","Lauroyl/myristoyl acyltransferase",1,1,1
"COG1561","COG1561","Uncharacterized stress-induced protein",1,0,1
"COG1562","ERG9","Phytoene/squalene synthetase",1,1,1
"COG1564","THI80","Thiamine pyrophosphokinase",1,1,0
"COG1565","COG1565","Uncharacterized conserved protein",1,1,1
"COG1566","EmrA","Multidrug resistance efflux pump",5,3,2
"COG1570","XseA","Exonuclease VII, large subunit",1,1,2
"COG1573","COG1573","Uracil-DNA glycosylase",3,3,3
"COG1576","COG1576","Uncharacterized conserved protein",1,1,0
"COG1580","FliL","Flagellar basal body-associated protein",1,0,0
"COG1585","COG1585","Membrane protein implicated in regulation of membrane protease activity",1,1,1
"COG1587","HemD","Uroporphyrinogen-III synthase",1,1,1
"COG1589","FtsQ","Cell division septal protein",1,1,1
"COG1593","DctQ","TRAP-type C4-dicarboxylate transport system, large permease component",12,8,7
"COG1595","RpoE","DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",3,2,0
"COG1596","Wza","Periplasmic protein involved in polysaccharide export, contains    SLBB domain of b-grasp fold",1,0,0
"COG1600","COG1600","Uncharacterized Fe-S protein",2,2,1
"COG1605","PheA","Chorismate mutase",1,1,2
"COG1607","COG1607","Acyl-CoA hydrolase",1,0,0
"COG1609","PurR","Transcriptional regulators",15,5,9
"COG1611","COG1611","Predicted Rossmann fold nucleotide-binding protein",1,1,3
"COG1612","CtaA","Uncharacterized protein required for cytochrome oxidase assembly",1,1,1
"COG1621","SacC","Beta-fructosidases (levanase/invertase)",2,0,0
"COG1622","CyoA","Heme/copper-type cytochrome/quinol oxidases, subunit 2",1,1,1
"COG1638","DctP","TRAP-type C4-dicarboxylate transport system, periplasmic component",12,9,9
"COG1643","HrpA","HrpA-like helicases",1,1,0
"COG1648","CysG","Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)",1,1,1
"COG1651","DsbG","Protein-disulfide isomerase",2,2,2
"COG1652","XkdP","Uncharacterized protein containing LysM domain",2,0,2
"COG1653","UgpB","ABC-type sugar transport system, periplasmic component",21,8,5
"COG1663","LpxK","Tetraacyldisaccharide-1-P 4'-kinase",1,1,1
"COG1670","RimL","Acetyltransferases, including N-acetylases of ribosomal proteins",9,7,5
"COG1671","COG1671","Uncharacterized protein conserved in bacteria",1,1,0
"COG1674","FtsK","DNA segregation ATPase FtsK/SpoIIIE and related proteins",1,2,1
"COG1677","FliE","Flagellar hook-basal body protein",1,0,0
"COG1678","COG1678","Putative transcriptional regulator",1,1,1
"COG1680","AmpC","Beta-lactamase class C and other penicillin binding proteins",4,2,0
"COG1684","FliR","Flagellar biosynthesis pathway, component FliR",1,0,0
"COG1686","DacC","D-alanyl-D-alanine carboxypeptidase",3,4,3
"COG1692","COG1692","Calcineurin-like phosphoesterase",1,1,1
"COG1695","COG1695","Predicted transcriptional regulators",2,1,0
"COG1702","PhoH","Phosphate starvation-inducible protein PhoH, predicted ATPase",1,1,1
"COG1706","FlgI","Flagellar basal-body P-ring protein",1,0,0
"COG1714","COG1714","Predicted membrane protein/domain",1,1,1
"COG1721","COG1721","Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain)",1,1,1
"COG1722","XseB","Exonuclease VII small subunit",1,1,1
"COG1729","COG1729","Uncharacterized protein conserved in bacteria",1,1,1
"COG1733","COG1733","Predicted transcriptional regulators",4,0,2
"COG1734","DksA","DnaK suppressor protein",3,1,2
"COG1737","RpiR","Transcriptional regulators",3,1,0
"COG1738","yhhQ","Uncharacterized member of the PurR regulon",1,1,1
"COG1739","COG1739","Uncharacterized conserved protein",1,0,0
"COG1741","COG1741","Pirin-related protein",2,0,1
"COG1744","Med","Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein",3,2,2
"COG1748","LYS9","Saccharopine dehydrogenase and related proteins",3,0,1
"COG1749","FlgE","Flagellar hook protein FlgE",1,0,0
"COG1752","RssA","Predicted esterase of the alpha-beta hydrolase superfamily",2,0,1
"COG1754","COG1754","Uncharacterized C-terminal domain of topoisomerase IA",1,1,2
"COG1758","RpoZ","DNA-directed RNA polymerase, subunit K/omega",1,1,1
"COG1760","SdaA","L-serine deaminase",1,1,1
"COG1762","PtsN","Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)",1,1,1
"COG1763","MobB","Molybdopterin-guanine dinucleotide biosynthesis protein",1,1,1
"COG1765","COG1765","Predicted redox protein, regulator of disulfide bond formation",2,2,1
"COG1766","fliF","Flagellar basal body M-ring protein",1,0,0
"COG1770","PtrB","Protease II",1,1,1
"COG1788","AtoD","Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit",1,0,0
"COG1794","RacX","Aspartate racemase",2,2,1
"COG1797","CobB","Cobyrinic acid a,c-diamide synthase",1,1,1
"COG1802","GntR","Transcriptional regulators",6,0,2
"COG1803","MgsA","Methylglyoxal synthase",1,0,0
"COG1804","CaiB","Predicted acyl-CoA transferases/carnitine dehydratase",2,3,2
"COG1807","ArnT","4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family",1,0,0
"COG1814","COG1814","Uncharacterized membrane protein",1,1,0
"COG1815","FlgB","Flagellar basal body protein",1,0,0
"COG1816","Add","Adenosine deaminase",1,1,1
"COG1820","NagA","N-acetylglucosamine-6-phosphate deacetylase",2,1,1
"COG1825","RplY","Ribosomal protein L25 (general stress protein Ctc)",1,1,1
"COG1826","TatA","Sec-independent protein secretion pathway components",2,2,2
"COG1828","PurS","Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component",1,1,1
"COG1835","COG1835","Predicted acyltransferases",1,3,0
"COG1840","AfuA","ABC-type Fe3+ transport system, periplasmic component",4,2,1
"COG1841","RpmD","Ribosomal protein L30/L7E",1,1,1
"COG1843","FlgD","Flagellar hook capping protein",1,0,0
"COG1845","CyoC","Heme/copper-type cytochrome/quinol oxidase, subunit 3",1,1,1
"COG1846","MarR","Transcriptional regulators",20,7,6
"COG1850","RbcL","Ribulose 1,5-bisphosphate carboxylase, large subunit",1,0,0
"COG1853","COG1853","Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family",2,3,1
"COG1858","MauG","Cytochrome c peroxidase",2,1,1
"COG1862","YajC","Preprotein translocase subunit YajC",1,1,1
"COG1863","MnhE","Multisubunit Na+/H+ antiporter, MnhE subunit",1,1,1
"COG1866","PckA","Phosphoenolpyruvate carboxykinase (ATP)",1,1,1
"COG1868","FliM","Flagellar motor switch protein",1,0,0
"COG1871","CheD","Chemotaxis protein; stimulates methylation of MCP proteins",1,0,0
"COG1872","COG1872","Uncharacterized conserved protein",1,0,1
"COG1874","LacA","Beta-galactosidase",2,1,1
"COG1879","RbsB","ABC-type sugar transport system, periplasmic component",11,2,8
"COG1884","Sbm","Methylmalonyl-CoA mutase, N-terminal domain/subunit",1,1,1
"COG1886","FliN","Flagellar motor switch/type III secretory pathway protein",1,0,0
"COG1894","NuoF","NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit",2,2,3
"COG1896","COG1896","Predicted hydrolases of HD superfamily",2,1,1
"COG1898","RfbC","dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes",1,0,0
"COG1902","NemA","NADH:flavin oxidoreductases, Old Yellow Enzyme family",2,2,0
"COG1903","CbiD","Cobalamin biosynthesis protein CbiD",1,1,1
"COG1904","UxaC","Glucuronate isomerase",1,0,0
"COG1905","NuoE","NADH:ubiquinone oxidoreductase 24 kD subunit",2,2,2
"COG1917","COG1917","Uncharacterized conserved protein, contains double-stranded beta-helix domain",5,0,1
"COG1922","WecG","Teichoic acid biosynthesis proteins",1,0,0
"COG1923","Hfq","Uncharacterized host factor I protein",1,1,1
"COG1925","FruB","Phosphotransferase system, HPr-related proteins",1,1,1
"COG1932","SerC","Phosphoserine aminotransferase",1,1,1
"COG1934","COG1934","Uncharacterized protein conserved in bacteria",1,1,1
"COG1940","NagC","Transcriptional regulator/sugar kinase",10,0,1
"COG1942","COG1942","Uncharacterized protein, 4-oxalocrotonate tautomerase homolog",1,0,0
"COG1946","TesB","Acyl-CoA thioesterase",1,1,1
"COG1947","IspE","4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase",1,1,1
"COG1952","SecB","Preprotein translocase subunit SecB",1,1,1
"COG1957","URH1","Inosine-uridine nucleoside N-ribohydrolase",2,0,1
"COG1959","COG1959","Predicted transcriptional regulator",5,2,2
"COG1960","CaiA","Acyl-CoA dehydrogenases",4,13,11
"COG1961","PinR","Site-specific recombinases, DNA invertase Pin homologs",2,2,1
"COG1968","BacA","Undecaprenyl pyrophosphate phosphatase",1,1,1
"COG1970","MscL","Large-conductance mechanosensitive channel",1,1,1
"COG1974","LexA","SOS-response transcriptional repressors (RecA-mediated autopeptidases)",1,1,1
"COG1975","XdhC","Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family",3,2,3
"COG1977","MoaD","Molybdopterin converting factor, small subunit",1,1,0
"COG1981","COG1981","Predicted membrane protein",1,1,1
"COG1984","DUR1","Allophanate hydrolase subunit 2",1,0,0
"COG1985","RibD","Pyrimidine reductase, riboflavin biosynthesis",1,1,1
"COG1987","FliQ","Flagellar biosynthesis pathway, component FliQ",1,0,0
"COG1994","SpoIVFB","Zn-dependent proteases",1,0,0
"COG1995","PdxA","Pyridoxal phosphate biosynthesis protein",1,1,1
"COG1999","COG1999","Uncharacterized protein SCO1/SenC/PrrC, involved in biogenesis of respiratory and photosynthetic systems",2,2,1
"COG2001","COG2001","Uncharacterized protein conserved in bacteria",1,0,0
"COG2003","RadC","DNA repair proteins",1,1,1
"COG2008","GLY1","Threonine aldolase",1,1,1
"COG2009","SdhC","Succinate dehydrogenase/fumarate reductase, cytochrome b subunit",1,1,1
"COG2010","CccA","Cytochrome c, mono- and diheme variants",4,2,6
"COG2017","GalM","Galactose mutarotase and related enzymes",1,1,1
"COG2020","STE14","Putative protein-S-isoprenylcysteine methyltransferase",1,2,1
"COG2021","MET2","Homoserine acetyltransferase",1,0,1
"COG2022","ThiG","Uncharacterized enzyme of thiazole biosynthesis",1,0,0
"COG2025","FixB","Electron transfer flavoprotein, alpha subunit",1,1,1
"COG2030","MaoC","Acyl dehydratase",2,4,3
"COG2038","CobT","NaMN:DMB phosphoribosyltransferase",1,1,1
"COG2039","Pcp","Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)",1,0,0
"COG2041","COG2041","Sulfite oxidase and related enzymes",2,0,0
"COG2049","DUR1","Allophanate hydrolase subunit 1",1,0,0
"COG2050","PaaI","HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism",1,4,1
"COG2055","COG2055","Malate/L-lactate dehydrogenases",1,1,2
"COG2057","AtoA","Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit",1,0,0
"COG2059","ChrA","Chromate transport protein ChrA",2,2,0
"COG2063","FlgH","Flagellar basal body L-ring protein",1,0,0
"COG2064","TadC","Flp pilus assembly protein TadC",1,0,0
"COG2068","COG2068","Uncharacterized MobA-related protein",1,1,1
"COG2073","CbiG","Cobalamin biosynthesis protein CbiG",1,1,1
"COG2079","PrpD","Uncharacterized protein involved in propionate catabolism",1,0,0
"COG2080","CoxS","Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS homologs",2,2,3
"COG2081","COG2081","Predicted flavoproteins",1,1,1
"COG2082","CobH","Precorrin isomerase",1,1,1
"COG2084","MmsB","3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases",6,2,5
"COG2086","FixA","Electron transfer flavoprotein, beta subunit",1,1,1
"COG2087","CobU","Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase",1,1,1
"COG2095","MarC","Multiple antibiotic transporter",1,2,0
"COG2096","COG2096","cob(I)alamin adenosyltransferase",1,1,1
"COG2099","CobK","Precorrin-6x reductase",1,1,1
"COG2103","COG2103","Predicted sugar phosphate isomerase",1,1,1
"COG2104","ThiS","Sulfur transfer protein involved in thiamine biosynthesis",1,0,0
"COG2105","COG2105","Uncharacterized conserved protein",1,0,0
"COG2109","BtuR","ATP:corrinoid adenosyltransferase",1,1,1
"COG2111","MnhB","Multisubunit Na+/H+ antiporter, MnhB subunit",2,2,2
"COG2113","ProX","ABC-type proline/glycine betaine transport systems, periplasmic components",3,2,5
"COG2115","XylA","Xylose isomerase",1,1,2
"COG2120","COG2120","Uncharacterized proteins, LmbE homologs",1,0,0
"COG2121","COG2121","Uncharacterized protein conserved in bacteria",1,0,1
"COG2122","COG2122","Uncharacterized conserved protein",1,0,1
"COG2124","CypX","Cytochrome P450",4,3,4
"COG2127","COG2127","Uncharacterized conserved protein",1,1,1
"COG2128","COG2128","Uncharacterized conserved protein",3,1,2
"COG2133","COG2133","Glucose/sorbosone dehydrogenases",1,1,0
"COG2135","COG2135","Uncharacterized conserved protein",1,1,1
"COG2138","COG2138","Sirohydrochlorin ferrochelatase",1,1,1
"COG2141","COG2141","Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",2,1,0
"COG2142","SdhD","Succinate dehydrogenase, hydrophobic anchor subunit",1,1,1
"COG2143","COG2143","Thioredoxin-related protein",1,0,0
"COG2146","{NirD","Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",1,0,0
"COG2148","WcaJ","Sugar transferases involved in lipopolysaccharide synthesis",1,2,2
"COG2151","PaaD","Predicted metal-sulfur cluster biosynthetic enzyme",2,2,2
"COG2153","ElaA","Predicted acyltransferase",1,1,0
"COG2154","COG2154","Pterin-4a-carbinolamine dehydratase",1,1,0
"COG2166","sufE","Cysteine desulfurase SufE subunit",1,1,1
"COG2169","Ada","Adenosine deaminase",1,1,1
"COG2171","DapD","Tetrahydrodipicolinate N-succinyltransferase",1,1,1
"COG2177","FtsX","Cell division protein",1,1,1
"COG2180","NarJ","Nitrate reductase delta subunit",1,0,0
"COG2181","NarI","Nitrate reductase gamma subunit",1,0,0
"COG2185","Sbm","Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)",1,1,1
"COG2186","FadR","Transcriptional regulators",4,0,3
"COG2188","PhnF","Transcriptional regulators",6,2,1
"COG2193","Bfr","Bacterioferritin (cytochrome b1)",1,0,1
"COG2197","CitB","Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain",13,2,5
"COG2199","COG2199","c-di-GMP synthetase (diguanylate cyclase, GGDEF domain)",5,1,4
"COG2200","Rtn","c-di-GMP phosphodiesterase class I (EAL domain)",2,2,4
"COG2201","CheB","Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain",1,0,0
"COG2202","AtoS","FOG: PAS/PAC domain",13,5,3
"COG2203","FhlA","FOG: GAF domain",1,0,0
"COG2204","AtoC","Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains",10,6,7
"COG2207","AraC","AraC-type DNA-binding domain-containing proteins",12,2,5
"COG2212","MnhF","Multisubunit Na+/H+ antiporter, MnhF subunit",1,1,1
"COG2214","CbpA","DnaJ-class molecular chaperone",1,0,0
"COG2215","COG2215","ABC-type uncharacterized transport system, permease component",1,1,1
"COG2217","ZntA","Cation transport ATPase",2,1,2
"COG2220","COG2220","Predicted Zn-dependent hydrolases of the beta-lactamase fold",3,3,2
"COG2222","AgaS","Predicted phosphosugar isomerases",1,1,0
"COG2223","NarK","Nitrate/nitrite transporter",4,0,1
"COG2224","AceA","Isocitrate lyase",1,1,1
"COG2225","AceB","Malate synthase",1,1,1
"COG2226","UbiE","Methylase involved in ubiquinone/menaquinone biosynthesis",8,5,5
"COG2227","UbiG","2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",2,3,1
"COG2230","Cfa","Cyclopropane fatty acid synthase and related methyltransferases",1,3,1
"COG2233","UraA","Xanthine/uracil permeases",1,1,1
"COG2234","Iap","Predicted aminopeptidases",1,0,0
"COG2239","MgtE","Mg/Co/Ni transporter MgtE (contains CBS domain)",1,1,1
"COG2240","PdxK","Pyridoxal/pyridoxine/pyridoxamine kinase",1,1,1
"COG2241","CobL","Precorrin-6B methylase 1",1,1,1
"COG2242","CobL","Precorrin-6B methylase 2",1,1,1
"COG2243","CobF","Precorrin-2 methylase",1,1,1
"COG2244","RfbX","Membrane protein involved in the export of O-antigen and teichoic acid",2,0,1
"COG2246","COG2246","Predicted membrane protein",1,0,0
"COG2249","MdaB","Putative NADPH-quinone reductase (modulator of drug activity B)",2,1,0
"COG2255","RuvB","Holliday junction resolvasome, helicase subunit",1,1,1
"COG2256","MGS1","ATPase related to the helicase subunit of the Holliday junction resolvase",1,1,1
"COG2258","COG2258","Uncharacterized protein conserved in bacteria",1,0,0
"COG2259","COG2259","Predicted membrane protein",1,0,1
"COG2261","COG2261","Predicted membrane protein",2,1,0
"COG2262","HflX","GTPases",1,1,1
"COG2264","PrmA","Ribosomal protein L11 methylase",1,1,1
"COG2265","TrmA","SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase",1,1,1
"COG2267","PldB","Lysophospholipase",2,3,2
"COG2274","SunT","ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain",2,0,2
"COG2301","CitE","Citrate lyase beta subunit",1,2,1
"COG2303","BetA","Choline dehydrogenase and related flavoproteins",4,5,2
"COG2313","IndA","Uncharacterized enzyme involved in pigment biosynthesis",1,1,2
"COG2315","MmcQ","Uncharacterized protein conserved in bacteria",1,2,0
"COG2319","COG2319","FOG: WD40 repeat",1,1,1
"COG2321","COG2321","Predicted metalloprotease",1,1,1
"COG2326","COG2326","Uncharacterized conserved protein",2,2,2
"COG2329","COG2329","Uncharacterized enzyme involved in biosynthesis of extracellular polysaccharides",2,0,0
